,GP,Date,Unnamed: 2,Opponent,GF,GA,Unnamed: 6,Unnamed: 7,W,L,OL,Streak,Att.,LOG,Notes,Capacity,Attendance Ratio,Polarized Sentiment Ratio
0,1,2018-10-03 00:00:00+00:00,Home,Calgary Flames,5,2,W,,1,0,0,W 1,18870,2:31,,18910,0.9978847170809096,0.0
1,2,2018-10-06 00:00:00+00:00,@,Calgary Flames,4,7,L,,1,1,0,L 1,18688,2:39,,19289,0.9688423453781948,0.6153846153846154
2,3,2018-10-09 00:00:00+00:00,@,Carolina Hurricanes,3,5,L,,1,2,0,L 2,11932,2:35,,18680,0.6387580299785868,1.0
3,4,2018-10-11 00:00:00+00:00,@,Tampa Bay Lightning,4,1,W,,2,2,0,W 1,19092,2:23,,19092,1.0,0.6666666666666666
4,5,2018-10-13 00:00:00+00:00,@,Florida Panthers,3,2,W,,3,2,0,W 2,11953,2:32,,19250,0.6209350649350649,0.5
5,6,2018-10-16 00:00:00+00:00,@,Pittsburgh Penguins,3,2,W,OT,4,2,0,W 3,18492,2:24,,18387,1.0,0.5
6,7,2018-10-18 00:00:00+00:00,@,Winnipeg Jets,1,4,L,,4,3,0,L 1,15321,2:32,,15294,1.0,1.0
7,8,2018-10-20 00:00:00+00:00,Home,Boston Bruins,2,1,W,OT,5,3,0,W 1,17871,2:30,,18910,0.945055526176626,1.0
8,9,2018-10-22 00:00:00+00:00,Home,Washington Capitals,2,5,L,,5,4,0,L 1,17227,2:25,,18910,0.9109994711792704,0.7142857142857143
9,10,2018-10-24 00:00:00+00:00,@,Vegas Golden Knights,3,2,W,SO,6,4,0,W 1,18189,2:42,,17500,1.0,0.5384615384615384
10,11,2018-10-25 00:00:00+00:00,@,Arizona Coyotes,1,4,L,,6,5,0,L 1,12955,2:20,,17125,0.7564963503649635,0.3333333333333333
11,12,2018-10-27 00:00:00+00:00,Home,Pittsburgh Penguins,0,5,L,,6,6,0,L 2,17537,2:29,,18910,0.927392913802221,0.5
12,13,2018-10-29 00:00:00+00:00,Home,Minnesota Wild,5,2,W,,7,6,0,W 1,16546,2:36,,18910,0.8749867794817557,0.6
13,14,2018-10-31 00:00:00+00:00,Home,Chicago Blackhawks,4,2,W,,8,6,0,W 2,16955,2:32,,18910,0.8966155473294554,0.5833333333333334
14,15,2018-11-02 00:00:00+00:00,Home,Colorado Avalanche,7,6,W,OT,9,6,0,W 3,18334,2:44,,18910,0.969539925965098,0.5
15,16,2018-11-06 00:00:00+00:00,@,Detroit Red Wings,2,3,L,SO,9,6,1,L 1,18640,2:47,,19515,0.9551626953625416,0.5555555555555556
16,17,2018-11-08 00:00:00+00:00,@,Boston Bruins,8,5,W,,10,6,1,W 1,17565,2:38,,17850,0.984033613445378,0.1111111111111111
17,18,2018-11-10 00:00:00+00:00,@,Buffalo Sabres,3,4,L,SO,10,6,2,L 1,17541,2:42,,19070,0.9198217094913476,0.0
18,19,2018-11-12 00:00:00+00:00,@,New York Rangers,1,2,L,,10,7,2,L 2,17100,2:28,,20789,0.8225503872240127,0.45454545454545453
19,20,2018-11-13 00:00:00+00:00,@,New York Islanders,2,5,L,,10,8,2,L 3,8806,2:26,,15813,0.5568835768038956,0.6666666666666666
20,21,2018-11-15 00:00:00+00:00,@,Minnesota Wild,2,6,L,,10,9,2,L 4,19014,2:35,,18064,1.0,0.5
21,22,2018-11-17 00:00:00+00:00,Home,Montreal Canadiens,2,3,L,,10,10,2,L 5,17880,2:35,,18910,0.9455314648334214,0.0
22,23,2018-11-19 00:00:00+00:00,Home,Winnipeg Jets,3,6,L,,10,11,2,L 6,17917,2:32,,18910,0.94748810153358,0.3
23,24,2018-11-21 00:00:00+00:00,@,Anaheim Ducks,3,4,L,,10,12,2,L 7,16091,2:32,,17174,0.9369395597996972,0.7
24,25,2018-11-23 00:00:00+00:00,@,San Jose Sharks,0,4,L,,10,13,2,L 8,17056,2:21,,17562,0.9711877918232548,0.75
25,26,2018-11-24 00:00:00+00:00,@,Los Angeles Kings,4,2,W,,11,13,2,W 1,17725,2:23,,18230,0.9722984092155788,0.5
26,27,2018-11-27 00:00:00+00:00,Home,Los Angeles Kings,1,2,L,OT,11,13,3,L 1,17790,2:26,,18910,0.940772078265468,0.5
27,28,2018-11-29 00:00:00+00:00,Home,Vegas Golden Knights,3,4,L,,11,14,3,L 2,16880,2:25,,18910,0.8926493918561608,0.5
28,29,2018-12-01 00:00:00+00:00,Home,Dallas Stars,1,2,L,,11,15,3,L 3,17387,2:30,,18910,0.919460602855632,0.46153846153846156
29,30,2018-12-04 00:00:00+00:00,Home,Minnesota Wild,2,3,L,,11,16,3,L 4,17122,2:25,,18910,0.905446853516658,0.6842105263157895
30,31,2018-12-06 00:00:00+00:00,Home,Nashville Predators,5,3,W,,12,16,3,W 1,16894,2:25,,18910,0.8933897408778424,0.5
31,32,2018-12-09 00:00:00+00:00,@,St. Louis Blues,6,1,W,,13,16,3,W 2,16841,2:22,,19150,0.8794255874673629,0.5555555555555556
32,33,2018-12-11 00:00:00+00:00,@,Columbus Blue Jackets,3,2,W,,14,16,3,W 3,14689,2:28,,18144,0.8095789241622575,0.5
33,34,2018-12-13 00:00:00+00:00,@,Nashville Predators,3,4,L,OT,14,16,4,L 1,17206,2:41,,17113,1.0,0.6666666666666666
34,35,2018-12-15 00:00:00+00:00,Home,Philadelphia Flyers,5,1,W,,15,16,4,W 1,17238,2:23,,18910,0.91158117398202,1.0
35,36,2018-12-16 00:00:00+00:00,Home,Edmonton Oilers,4,2,W,,16,16,4,W 2,18036,2:23,,18910,0.953781068217874,0.6666666666666666
36,37,2018-12-18 00:00:00+00:00,Home,Tampa Bay Lightning,2,5,L,,16,17,4,L 1,17193,2:42,,18910,0.9092014806980434,0.6666666666666666
37,38,2018-12-20 00:00:00+00:00,Home,St. Louis Blues,5,1,W,,17,17,4,W 1,18261,2:31,,18910,0.9656795346377578,0.75
38,39,2018-12-22 00:00:00+00:00,Home,Winnipeg Jets,0,1,L,,17,18,4,L 1,18028,2:23,,18910,0.953358011634056,0.42857142857142855
39,40,2018-12-27 00:00:00+00:00,@,Edmonton Oilers,4,2,W,,18,18,4,W 1,18347,2:27,,18641,0.9842283139316559,0.6428571428571429
40,41,2018-12-29 00:00:00+00:00,@,Calgary Flames,3,2,W,OT,19,18,4,W 2,19289,2:35,,19289,1.0,0.5
41,42,2018-12-31 00:00:00+00:00,@,New Jersey Devils,0,4,L,,19,19,4,L 1,15772,2:21,,16514,0.9550684267893907,0.5714285714285714
42,43,2019-01-02 00:00:00+00:00,@,Ottawa Senators,4,3,W,OT,20,19,4,W 1,16358,2:41,,18652,0.8770105082564872,0.75
43,44,2019-01-03 00:00:00+00:00,@,Montreal Canadiens,0,2,L,,20,20,4,L 1,21302,2:35,,21273,1.0,1.0
44,45,2019-01-05 00:00:00+00:00,@,Toronto Maple Leafs,0,5,L,,20,21,4,L 2,19388,2:23,,18800,1.0,0.2857142857142857
45,46,2019-01-10 00:00:00+00:00,Home,Arizona Coyotes,3,4,L,OT,20,21,5,L 3,18527,2:33,,18910,0.9797461660497092,0.5
46,47,2019-01-13 00:00:00+00:00,Home,Florida Panthers,5,1,W,,21,21,5,W 1,18610,2:42,,18910,0.9841353781068218,0.4
47,48,2019-01-16 00:00:00+00:00,Home,Edmonton Oilers,2,3,L,SO,21,21,6,L 1,18166,2:50,,18910,0.960655737704918,0.8333333333333334
48,49,2019-01-18 00:00:00+00:00,Home,Buffalo Sabres,4,3,W,,22,21,6,W 1,18176,2:26,,18910,0.9611845584346906,0.4
49,50,2019-01-20 00:00:00+00:00,Home,Detroit Red Wings,3,2,W,,23,21,6,W 2,18865,2:32,,18910,0.9976203067160232,0.5
50,51,2019-01-23 00:00:00+00:00,Home,Carolina Hurricanes,2,5,L,,23,22,6,L 1,18373,2:32,,18910,0.971602326811211,0.6363636363636364
51,52,2019-02-02 00:00:00+00:00,@,Colorado Avalanche,5,1,W,,24,22,6,W 1,18027,2:26,,18007,1.0,0.5769230769230769
52,53,2019-02-04 00:00:00+00:00,@,Philadelphia Flyers,1,2,L,,24,23,6,L 1,18671,2:32,,19537,0.9556738496186724,1.0
53,54,2019-02-05 00:00:00+00:00,@,Washington Capitals,2,3,L,,24,24,6,L 2,18506,2:31,,18506,1.0,0.0
54,55,2019-02-07 00:00:00+00:00,@,Chicago Blackhawks,3,4,L,OT,24,24,7,L 3,21540,2:34,,19717,1.0,1.0
55,56,2019-02-09 00:00:00+00:00,Home,Calgary Flames,4,3,W,SO,25,24,7,W 1,18410,2:45,,18910,0.9735589635113696,0.6666666666666666
56,57,2019-02-11 00:00:00+00:00,Home,San Jose Sharks,2,7,L,,25,25,7,L 1,18576,2:22,,18910,0.9823373876255951,0.8
57,58,2019-02-13 00:00:00+00:00,@,Anaheim Ducks,0,1,L,,25,26,7,L 2,17174,2:33,,17174,1.0,0.8333333333333334
58,59,2019-02-14 00:00:00+00:00,@,Los Angeles Kings,4,3,W,SO,26,26,7,W 1,18230,2:48,,18230,1.0,0.25
59,60,2019-02-16 00:00:00+00:00,@,San Jose Sharks,2,3,L,,26,27,7,L 1,17562,2:30,,17562,1.0,0.7142857142857143
60,61,2019-02-21 00:00:00+00:00,Home,Arizona Coyotes,2,3,L,OT,26,27,8,L 2,18568,2:32,,18910,0.9819143310417768,0.7058823529411765
61,62,2019-02-23 00:00:00+00:00,Home,New York Islanders,0,4,L,,26,28,8,L 3,18871,2:22,,18910,0.9979375991538868,0.75
62,63,2019-02-25 00:00:00+00:00,Home,Anaheim Ducks,4,0,W,,27,28,8,W 1,18542,2:23,,18910,0.980539397144368,0.7
63,64,2019-02-27 00:00:00+00:00,@,Colorado Avalanche,2,3,L,SO,27,28,9,L 1,14867,2:48,,18007,0.8256233686899539,0.7
64,65,2019-02-28 00:00:00+00:00,@,Arizona Coyotes,2,5,L,,27,29,9,L 2,12767,2:26,,17125,0.7455182481751825,1.0
65,66,2019-03-03 00:00:00+00:00,@,Vegas Golden Knights,0,3,L,,27,30,9,L 3,18303,2:26,,17500,1.0,0.875
66,67,2019-03-06 00:00:00+00:00,Home,Toronto Maple Leafs,3,2,W,OT,28,30,9,W 1,18871,2:31,,18910,0.9979375991538868,0.6363636363636364
67,68,2019-03-07 00:00:00+00:00,@,Edmonton Oilers,2,3,L,,28,31,9,L 1,18347,2:26,,18641,0.9842283139316559,0.6
68,69,2019-03-09 00:00:00+00:00,Home,Vegas Golden Knights,2,6,L,,28,32,9,L 2,18286,2:22,,18910,0.9670015864621894,1.0
69,70,2019-03-13 00:00:00+00:00,Home,New York Rangers,4,1,W,,29,32,9,W 1,18225,2:20,,18910,0.9637757800105764,0.7315436241610739
70,71,2019-03-15 00:00:00+00:00,Home,New Jersey Devils,2,3,L,SO,29,32,10,L 1,17552,2:52,,18910,0.9281861448968799,0.7383177570093458
71,72,2019-03-17 00:00:00+00:00,@,Dallas Stars,3,2,W,SO,30,32,10,W 1,18125,2:45,,18532,0.9780379883444852,0.75
72,73,2019-03-18 00:00:00+00:00,@,Chicago Blackhawks,3,2,W,OT,31,32,10,W 2,21496,2:25,,19717,1.0,0.673469387755102
73,74,2019-03-20 00:00:00+00:00,Home,Ottawa Senators,7,4,W,,32,32,10,W 3,18500,2:30,,18910,0.9783183500793232,0.6705882352941176
74,75,2019-03-23 00:00:00+00:00,Home,Calgary Flames,1,3,L,,32,33,10,L 1,18685,2:26,,18910,0.9881015335801164,0.728
75,76,2019-03-24 00:00:00+00:00,Home,Columbus Blue Jackets,0,5,L,,32,34,10,L 2,17805,2:23,,18910,0.9415653093601271,0.6944444444444444
76,77,2019-03-26 00:00:00+00:00,Home,Anaheim Ducks,4,5,L,,32,35,10,L 3,17633,2:28,,18910,0.932469592808038,0.8469387755102041
77,78,2019-03-28 00:00:00+00:00,Home,Los Angeles Kings,3,2,W,SO,33,35,10,W 1,18524,2:38,,18910,0.9795875198307774,0.7032967032967034
78,79,2019-03-30 00:00:00+00:00,Home,Dallas Stars,3,2,W,SO,34,35,10,W 2,18663,2:42,,18910,0.9869381279746166,0.7352941176470589
79,80,2019-04-02 00:00:00+00:00,Home,San Jose Sharks,4,2,W,,35,35,10,W 3,18524,2:22,,18910,0.9795875198307774,0.7243589743589743
80,81,2019-04-04 00:00:00+00:00,@,Nashville Predators,2,3,L,,35,36,10,L 1,17669,2:24,,17113,1.0,0.6946564885496184
81,82,2019-04-06 00:00:00+00:00,@,St. Louis Blues,2,3,L,SO,35,36,11,L 2,17970,2:35,,19150,0.9383812010443864,0.6914893617021277
