Image,Arena,Location,Team(s),Capacity,Opened,Ref(s)
,American Airlines Arena,"Miami, Florida",Miami Heat,19600,1999,[1][2]
,American Airlines Center,"Dallas, Texas",Dallas Mavericks,19200,2001,[1][3]
,Amway Center,"Orlando, Florida",Orlando Magic,18846,2010,[1][4]
,AT&T Center,"San Antonio, Texas",San Antonio Spurs,18418,2002,[1][5]
,Bankers Life Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,17923,1999,[1][6]
,Barclays Center,"Brooklyn, New York",Brooklyn Nets,17732,2012,[1][7]
,Capital One Arena,"Washington, D.C.",Washington Wizards,20356,1997,[1][8]
,Chase Center,"San Francisco, California",Golden State Warriors,18064,2019,[1][9][10]
,Chesapeake Energy Arena,"Oklahoma City, Oklahoma",Oklahoma City Thunder,18203,2002,[1][11]
,FedExForum,"Memphis, Tennessee",Memphis Grizzlies,17794,2004,[1][12]
,Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee Bucks,17500,2018,[1][13]
,Golden 1 Center,"Sacramento, California",Sacramento Kings,17583,2016,[1][14]
,Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,20332,2017,[1][15]
,Madison Square Garden,"New York City, New York",New York Knicks,19812,1968 â€ ,[1][16]
,Moda Center,"Portland, Oregon",Portland Trail Blazers,19441,1995,[1][17]
,Pepsi Center,"Denver, Colorado",Denver Nuggets,19520,1999,[1][18]
,Rocket Mortgage FieldHouse,"Cleveland, Ohio",Cleveland Cavaliers,19432,1994,[1][19][20]
,Scotiabank Arena,"Toronto, Ontario",Toronto Raptors,19800,1999,[1][21]
,Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,16867,1999,[1][22]
,Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,19077,2005,[1][23]
,Staples Center,"Los Angeles, California",Los Angeles Clippers,19068,1999,[1][24]
,Staples Center,"Los Angeles, California",Los Angeles Lakers,18997,1999,[1][24]
,State Farm Arena,"Atlanta, Georgia",Atlanta Hawks,18118,1999,[1][25]
,Talking Stick Resort Arena,"Phoenix, Arizona",Phoenix Suns,18055,1992,[1][26]
,Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,18978,1990,[1][27]
,TD Garden,"Boston, Massachusetts",Boston Celtics,18624,1995,[1][28]
,Toyota Center,"Houston, Texas",Houston Rockets,18055,2003,[1][29]
,United Center,"Chicago, Illinois",Chicago Bulls,20917,1994,[1][30]
,Vivint Smart Home Arena,"Salt Lake City, Utah",Utah Jazz,18306,1991,[1][31]
,Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia 76ers,20478,1996,[1][32][33]
