G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
1,"Wed, Oct 17, 2018",8:00p,,Box Score,,New Orleans Pelicans,L,,112,131,0,1,L 1,
2,"Sat, Oct 20, 2018",10:30p,,Box Score,@,Los Angeles Lakers,W,,124,115,1,1,W 1,
3,"Sun, Oct 21, 2018",9:00p,,Box Score,@,Los Angeles Clippers,L,,112,115,1,2,L 1,
4,"Wed, Oct 24, 2018",8:00p,,Box Score,,Utah Jazz,L,,89,100,1,3,L 2,
5,"Fri, Oct 26, 2018",8:00p,,Box Score,,Los Angeles Clippers,L,,113,133,1,4,L 3,
6,"Tue, Oct 30, 2018",8:00p,,Box Score,,Portland Trail Blazers,L,,85,104,1,5,L 4,
7,"Fri, Nov 2, 2018",7:30p,,Box Score,@,Brooklyn Nets,W,,119,111,2,5,W 1,
8,"Sat, Nov 3, 2018",8:00p,,Box Score,@,Chicago Bulls,W,,96,88,3,5,W 2,
9,"Mon, Nov 5, 2018",7:00p,,Box Score,@,Indiana Pacers,W,,98,94,4,5,W 3,
10,"Thu, Nov 8, 2018",8:00p,,Box Score,@,Oklahoma City Thunder,L,,80,98,4,6,L 1,
11,"Sat, Nov 10, 2018",8:30p,,Box Score,@,San Antonio Spurs,L,,89,96,4,7,L 2,
12,"Sun, Nov 11, 2018",7:00p,,Box Score,,Indiana Pacers,W,,115,103,5,7,W 1,
13,"Tue, Nov 13, 2018",9:00p,,Box Score,@,Denver Nuggets,W,,109,99,6,7,W 2,
14,"Thu, Nov 15, 2018",8:00p,,Box Score,,Golden State Warriors,W,,107,86,7,7,W 3,
15,"Sat, Nov 17, 2018",8:00p,,Box Score,,Sacramento Kings,W,,132,112,8,7,W 4,
16,"Wed, Nov 21, 2018",8:00p,,Box Score,,Detroit Pistons,W,,126,124,9,7,W 5,
17,"Fri, Nov 23, 2018",7:00p,,Box Score,@,Detroit Pistons,L,OT,111,116,9,8,L 1,
18,"Sat, Nov 24, 2018",7:30p,,Box Score,@,Cleveland Cavaliers,L,,108,117,9,9,L 2,
19,"Mon, Nov 26, 2018",7:00p,,Box Score,@,Washington Wizards,L,OT,131,135,9,10,L 3,
20,"Wed, Nov 28, 2018",8:00p,,Box Score,,Dallas Mavericks,L,,108,128,9,11,L 4,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,"Fri, Nov 30, 2018",8:00p,,Box Score,@,San Antonio Spurs,W,,136,105,10,11,W 1,
22,"Sat, Dec 1, 2018",8:00p,,Box Score,,Chicago Bulls,W,,121,105,11,11,W 2,
23,"Mon, Dec 3, 2018",8:00p,,Box Score,@,Minnesota Timberwolves,L,,91,103,11,12,L 1,
24,"Thu, Dec 6, 2018",10:30p,,Box Score,@,Utah Jazz,L,,91,118,11,13,L 2,
25,"Sat, Dec 8, 2018",6:00p,,Box Score,@,Dallas Mavericks,L,,104,107,11,14,L 3,
26,"Tue, Dec 11, 2018",8:00p,,Box Score,,Portland Trail Blazers,W,,111,104,12,14,W 1,
27,"Thu, Dec 13, 2018",8:00p,,Box Score,,Los Angeles Lakers,W,,126,111,13,14,W 2,
28,"Sat, Dec 15, 2018",8:00p,,Box Score,@,Memphis Grizzlies,W,,105,97,14,14,W 3,
29,"Mon, Dec 17, 2018",8:00p,,Box Score,,Utah Jazz,W,,102,97,15,14,W 4,
30,"Wed, Dec 19, 2018",8:00p,,Box Score,,Washington Wizards,W,,136,118,16,14,W 5,
31,"Thu, Dec 20, 2018",8:00p,,Box Score,@,Miami Heat,L,,99,101,16,15,L 1,
32,"Sat, Dec 22, 2018",8:00p,,Box Score,,San Antonio Spurs,W,,108,101,17,15,W 1,
33,"Tue, Dec 25, 2018",3:00p,,Box Score,,Oklahoma City Thunder,W,,113,109,18,15,W 2,
34,"Thu, Dec 27, 2018",8:00p,,Box Score,,Boston Celtics,W,,127,113,19,15,W 3,
35,"Sat, Dec 29, 2018",7:00p,,Box Score,@,New Orleans Pelicans,W,,108,104,20,15,W 4,
36,"Mon, Dec 31, 2018",7:00p,,Box Score,,Memphis Grizzlies,W,,113,101,21,15,W 5,
37,"Thu, Jan 3, 2019",10:30p,,Box Score,@,Golden State Warriors,W,OT,135,134,22,15,W 6,
38,"Sat, Jan 5, 2019",10:00p,,Box Score,@,Portland Trail Blazers,L,,101,110,22,16,L 1,
39,"Mon, Jan 7, 2019",8:00p,,Box Score,,Denver Nuggets,W,,125,113,23,16,W 1,
40,"Wed, Jan 9, 2019",8:00p,,Box Score,,Milwaukee Bucks,L,,109,116,23,17,L 1,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,"Fri, Jan 11, 2019",8:00p,,Box Score,,Cleveland Cavaliers,W,,141,113,24,17,W 1,
42,"Sun, Jan 13, 2019",6:00p,,Box Score,@,Orlando Magic,L,,109,116,24,18,L 1,
43,"Mon, Jan 14, 2019",8:00p,,Box Score,,Memphis Grizzlies,W,,112,94,25,18,W 1,
44,"Wed, Jan 16, 2019",8:00p,,Box Score,,Brooklyn Nets,L,OT,142,145,25,19,L 1,
45,"Sat, Jan 19, 2019",8:30p,,Box Score,,Los Angeles Lakers,W,OT,138,134,26,19,W 1,
46,"Mon, Jan 21, 2019",8:00p,,Box Score,@,Philadelphia 76ers,L,,93,121,26,20,L 1,
47,"Wed, Jan 23, 2019",7:30p,,Box Score,@,New York Knicks,W,,114,110,27,20,W 1,
48,"Fri, Jan 25, 2019",8:00p,,Box Score,,Toronto Raptors,W,,121,119,28,20,W 2,
49,"Sun, Jan 27, 2019",7:00p,,Box Score,,Orlando Magic,W,,103,98,29,20,W 3,
50,"Tue, Jan 29, 2019",8:00p,,Box Score,,New Orleans Pelicans,L,,116,121,29,21,L 1,
51,"Fri, Feb 1, 2019",10:00p,,Box Score,@,Denver Nuggets,L,,122,136,29,22,L 2,
52,"Sat, Feb 2, 2019",9:00p,,Box Score,@,Utah Jazz,W,,125,98,30,22,W 1,
53,"Mon, Feb 4, 2019",9:00p,,Box Score,@,Phoenix Suns,W,,118,110,31,22,W 2,
54,"Wed, Feb 6, 2019",10:00p,,Box Score,@,Sacramento Kings,W,,127,101,32,22,W 3,
55,"Sat, Feb 9, 2019",8:30p,,Box Score,,Oklahoma City Thunder,L,,112,117,32,23,L 1,
56,"Mon, Feb 11, 2019",8:00p,,Box Score,,Dallas Mavericks,W,,120,104,33,23,W 1,
57,"Wed, Feb 13, 2019",8:00p,,Box Score,@,Minnesota Timberwolves,L,,111,121,33,24,L 1,
58,"Thu, Feb 21, 2019",10:30p,,Box Score,@,Los Angeles Lakers,L,,106,111,33,25,L 2,
59,"Sat, Feb 23, 2019",8:30p,,Box Score,@,Golden State Warriors,W,,118,112,34,25,W 1,
60,"Mon, Feb 25, 2019",8:00p,,Box Score,,Atlanta Hawks,W,,119,111,35,25,W 2,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,"Wed, Feb 27, 2019",7:00p,,Box Score,@,Charlotte Hornets,W,,118,113,36,25,W 3,
62,"Thu, Feb 28, 2019",8:00p,,Box Score,,Miami Heat,W,,121,118,37,25,W 4,
63,"Sun, Mar 3, 2019",3:30p,,Box Score,@,Boston Celtics,W,,115,104,38,25,W 5,
64,"Tue, Mar 5, 2019",8:00p,,Box Score,@,Toronto Raptors,W,,107,95,39,25,W 6,
65,"Fri, Mar 8, 2019",8:00p,,Box Score,,Philadelphia 76ers,W,,107,91,40,25,W 7,
66,"Sun, Mar 10, 2019",7:00p,,Box Score,@,Dallas Mavericks,W,,94,93,41,25,W 8,
67,"Mon, Mar 11, 2019",8:00p,,Box Score,,Charlotte Hornets,W,,118,106,42,25,W 9,
68,"Wed, Mar 13, 2019",9:30p,,Box Score,,Golden State Warriors,L,,104,106,42,26,L 1,
69,"Fri, Mar 15, 2019",8:00p,,Box Score,,Phoenix Suns,W,,108,102,43,26,W 1,
70,"Sun, Mar 17, 2019",9:00p,,Box Score,,Minnesota Timberwolves,W,,117,102,44,26,W 2,
71,"Tue, Mar 19, 2019",7:30p,,Box Score,@,Atlanta Hawks,W,,121,105,45,26,W 3,
72,"Wed, Mar 20, 2019",8:00p,,Box Score,@,Memphis Grizzlies,L,OT,125,126,45,27,L 1,
73,"Fri, Mar 22, 2019",8:00p,,Box Score,,San Antonio Spurs,W,,111,105,46,27,W 1,
74,"Sun, Mar 24, 2019",7:00p,,Box Score,@,New Orleans Pelicans,W,,113,90,47,27,W 2,
75,"Tue, Mar 26, 2019",8:00p,,Box Score,@,Milwaukee Bucks,L,,94,108,47,28,L 1,
76,"Thu, Mar 28, 2019",8:00p,,Box Score,,Denver Nuggets,W,,112,85,48,28,W 1,
77,"Sat, Mar 30, 2019",6:00p,,Box Score,,Sacramento Kings,W,,119,108,49,28,W 2,
78,"Tue, Apr 2, 2019",10:00p,,Box Score,@,Sacramento Kings,W,,130,105,50,28,W 3,
79,"Wed, Apr 3, 2019",10:30p,,Box Score,@,Los Angeles Clippers,W,,135,103,51,28,W 4,
80,"Fri, Apr 5, 2019",8:00p,,Box Score,,New York Knicks,W,,120,96,52,28,W 5,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,"Sun, Apr 7, 2019",7:00p,,Box Score,,Phoenix Suns,W,,149,113,53,28,W 6,
82,"Tue, Apr 9, 2019",9:30p,,Box Score,@,Oklahoma City Thunder,L,,111,112,53,29,L 1,
